"Login ID","Shift Start","Shift End","Logged Time","Break (t)","Appointments (#)","Ready:Talk Time","Ready:Wrap Time"
"a mao","Apr 5 7:13AM","Apr 5 1:12PM","6.817","0.822","4","2.467","0.894"
"a josue","Apr 5 7:04AM","Apr 5 1:12PM","7.634","1.550","2","1.967","1.067"
"a rogelio","Apr 5 7:24AM","Apr 5 1:12PM","6.567","0.939","-","0.857","3.200"
"n orduno","Apr 5 7:01AM","Apr 5 1:12PM","7.084","0.878","2","2.617","0.684"
"n rangel","Apr 5 6:59AM","Apr 5 1:12PM","7.117","0.826","2","2.350","0.697"
"e ashokhaled","Apr 5 10:16AM","Apr 5 11:05AM","0.825","-","-","0.374","0.221"
"a billy","Apr 5 6:39AM","Apr 5 1:12PM","7.567","0.999","5","2.467","0.935"
"n colunga","Apr 5 7:03AM","Apr 5 1:12PM","7.317","0.309","2","2.650","0.846"
"a ayala","Apr 5 7:49AM","Apr 5 1:12PM","6.700","1.317","3","1.967","0.690"
"e khorshed","Apr 5 6:47AM","Apr 5 12:13PM","7.550","0.599","1","1.284","1.167"
"a luise","Apr 5 7:10AM","Apr 5 1:12PM","6.617","0.689","2","2.667","0.743"
"a santos","Apr 5 7:14AM","Apr 5 1:12PM","5.967","0.548","-","1.700","2.284"
"n rios","Apr 5 6:45AM","Apr 5 1:12PM","7.700","1.234","1","2.034","0.882"
"a ale","Apr 5 11:14AM","Apr 5 1:00PM","1.534","0.102","1","0.411","0.652"
"e amconz","Apr 5 6:58AM","Apr 5 1:04PM","5.384","-","4","2.534","0.751"
"e abobakir","Apr 5 8:39AM","Apr 5 1:12PM","5.134","0.763","1","1.667","0.711"
"e monaya","Apr 5 6:45AM","Apr 5 11:01AM","4.000","-","-","1.667","0.468"
"e jano","Apr 5 11:53AM","Apr 5 12:31PM","0.628","-","-","0.242","0.145"
"e jaden","Apr 5 7:48AM","Apr 5 9:41AM","1.534","-","1","0.883","0.162"
"a garcia","Apr 5 6:41AM","Apr 5 1:12PM","9.300","0.733","7","2.800","1.234"
"a zamudio","Apr 5 7:29AM","Apr 5 1:12PM","6.500","0.782","-","2.200","0.783"
"a merari","Apr 5 7:15AM","Apr 5 1:12PM","6.950","0.983","2","2.567","0.835"
"a misael","Apr 5 7:14AM","Apr 5 1:12PM","7.867","0.907","-","1.834","1.084"
"n refugio","Apr 5 7:15AM","Apr 5 1:12PM","6.467","0.504","-","2.434","0.855"
"n cisneros","Apr 5 7:13AM","Apr 5 9:10AM","2.200","0.253","-","0.517","0.646"
"n lara","Apr 5 7:10AM","Apr 5 12:43PM","5.817","0.336","2","2.617","0.816"
"n eddie","Apr 5 7:09AM","Apr 5 8:35AM","1.834","0.271","-","0.308","0.082"
"n flash","Apr 5 7:14AM","Apr 5 1:12PM","6.917","0.895","-","2.134","0.819"
"a randall","Apr 5 6:49AM","Apr 5 1:12PM","7.400","0.975","1","2.150","0.571"
"a alex","Apr 5 7:09AM","Apr 5 12:42PM","6.967","1.317","4","2.000","0.733"
